,acronym,Phrases
31282,WiPAL,Wisconsin Plasma Astrophysics Laboratory (WiPAL)
31283,HPDC,high pressure die castings (HPDC)
31284,CFs,conducting filaments (CFs); conductive filaments (CFs)
31285,CFs,conversion factors (CFs)
31286,CFs,carbon fibers (CFs)
31287,CFs,crossover frequencies (CFs)
31288,CFs,can be understood if the formation of a few-nm-sized conducting filaments (CFs)
31289,L-MOKE,longitudinal MOKE (L-MOKE)
31290,DLAS,diode-laser absorption spectroscopy (DLAS)
31291,CLE,conditional Lyapunov exponents (CLE)
31292,CLE,chemical Langevin equation (CLE); classical Langevin equation (CLE); Chemical Langevin Equation (CLE)
31293,CLE,Connes-Lott-Elsner (CLE)
31294,TDS,TIME-DOMAIN SPECTROSCOPY (TDS)
31295,TDS,Time delayed system (TDS); time-delayed system (TDS)
31296,TDS,thermal-desorption spectroscopy (TDS); Thermal desorption spectroscopy (TDS); thermal desorption spectroscopy (TDS); Thermal Desorption Spectroscopy (TDS); thermal-desorption spectrum (TDS)
31297,TDS,time-domain spectroscopy (TDS); Time Domain Spectroscopy (TDS)
31298,TDS,time domain structures (TDS)
31299,TDS,transmitted diffracted shock (TDS)
31300,TDS,thermal diffuse scattering (TDS)
31301,TDS,Time Domain Sampler (TDS)
31302,TDS,targeted defense strategy (TDS)
31303,TDS,topological Dirac semimetals (TDS)
31304,ECRISs,electron cyclotron resonance ion sources (ECRISs)
31305,LJJ,long Josephson tunnel junctions (LJJ)
31306,HXI,high-energy X-ray instrument (HXI)
31307,IVP,initial value problem (IVP); Initial Value Problem (IVP); initial-value problem (IVP)
31308,BPSG,borophosposilicate glass (BPSG); borophosphosilicate glass (BPSG)
31309,GdBCO-Ag,Gd–Ba–Cu–O–Ag (GdBCO-Ag)
31310,SEF,surface enhanced fluorescence (SEF)
31311,HEBM,high-energy ball milling (HEBM)
31312,WPE,wall plug efficiency (WPE); wall-plug efficiency (WPE)
31313,MNISBM,multiband near-infrared sky brightness monitor (MNISBM)
31314,DoF,depth of focus (DoF); depth-of-focus (DoF)
31315,DoF,degree of freedom (DoF); degrees-of-freedom (DoF); degrees of freedom (DoF)
31316,CDSD,carbon dioxide spectral data bank (CDSD)
31317,STF,stretch-twist-fold (STF)
31318,STF,spatial transfer function (STF)
31319,STF,superconducting test facility (STF)
31320,EOR,end-of-range (EOR); end of range (EOR)
31321,EOR,enhanced oil recovery (EOR); Enhanced Oil Recovery (EOR)
31322,EOR,extremely relevant research topic for CO {2}-Enhanced Oil Recovery (EOR)
31323,EOR,empty orbital regime (EOR)
31324,IFE,inertial fusion energy (IFE)
31325,IFE,inverse Faraday effect (IFE)
31326,XFM,x-ray fluorescence microscopy (XFM)
31327,TeTail,the high-energy tail (TeTail)
31328,ASTA,Accelerator Structure Test Area (ASTA)
31329,Y-TFA,yttrium trifluoroacetates (Y-TFA)
31330,DHC,district heating and cooling (DHC)
31331,IDCs,insurance cost during constructions (IDCs)
31332,PEL,potential energy landscape (PEL); Potential Energy Landscape (PEL)
31333,PEL,polyelectrolyte layer (PEL)
31334,CTC,capacity to degrade the chlortetracycline (CTC)
31335,CTC,coupling transformer of current sensor (CTC)
31336,CTC,circulating tumor cell (CTC)
31337,CTC,charge transfer complex (CTC)
31338,CTC,compressive-tensile-compressive (CTC)
31339,SSFLCs,surface-stabilized ferroelectric liquid crystals (SSFLCs)
31340,QUBO,quadratic unconstrained binary optimization (QUBO)
31341,LSSVM,least squares support vector machine (LSSVM); least-square support vector machine (LSSVM)
31342,HR-XRD,high-resolution Cu Kα x-ray diffractometer (HR-XRD); high-resolution x-ray diffraction (HR-XRD)
31343,HR-XRD,high-resolution X-ray diffraction (HR-XRD); high resolution x-ray diffraction (HR-XRD); High-resolution x-ray diffraction (HR-XRD); High-resolution X-ray diffraction (HR-XRD); High resolution X-ray diffraction (HR-XRD); High Resolution X-Ray Diffraction (HR-XRD)
31344,HR-XRD,high resolution X-ray diffraction (HR-XRD); high resolution X-ray diffraction measurements (HR-XRD)
31345,FAC,flexible atomic code (FAC); Flexible Atomic Code (FAC)
31346,FAC,fatty acid composition (FAC)
31347,BAU,Business as Usual (BAU)
31348,Ic1th,Ic1th defined by p {2}(Ic1th)
31349,Dir,Direction of sorting (Dir)
31350,OGT,oscillating-grid turbulence (OGT)
31351,MPCVD,microwave-plasma chemical vapor deposition (MPCVD); microwave plasma-enhanced chemical-vapor deposition (MPCVD); microwave plasma-enhanced chemical vapor deposition (MPCVD); microwave plasma chemical vapor deposition (MPCVD); microwave plasma-assisted chemical-vapor-deposition (MPCVD); microwave plasma-enhanced chemical vapour deposition (MPCVD); microwave plasma assisted chemical vapor deposition (MPCVD)
31352,MPCVD,microwave plasma-assisted CVD reactor (MPCVD)
31353,SCIG,squirrel cage induction generator (SCIG); squirrel-cage induction generator (SCIG)
31354,EVDFs,electron velocity distribution functions (EVDFs)
31355,MFS,Metal-ferroelectric-semiconductor (MFS); metal/ferroelectric/semiconductor (MFS)
31356,MFS,metal-film-substrate (MFS)
31357,MFS,mass flow sensors (MFS)
31358,MFS,minimum Fisher Shannon (MFS)
31359,ECAL,electromagnetic calorimeter (ECAL)
31360,MPH,metal-plastic hybrids (MPH)
31361,ULTT,Ultra Long Term Test (ULTT)
31362,ATR,attenuated total reflectance (ATR); attenuated-total-reflection (ATR); attenuated total reflection (ATR); Attenuated total reflection (ATR); attenuated total internal reflection (ATR)
31363,ATR,Attenuated total reflectance infrared spectra (ATR)
31364,ATR,an ingot that was produced by the aluminothermic reduction (ATR)
31365,GTC,gyrokinetic toroidal code (GTC)
31366,A-site,at the Bi^{3+} site (A-site)
31367,PSN,PbSc {1∕2}Nb {1∕2}O {3} (PSN)
31368,PVTEM,plan view TEM (PVTEM)
31369,PVTEM,planar view observation TEM (PVTEM)
31370,THD,total harmonic distortion (THD); Total Harmonic Distortion (THD); Total harmonics distortion (THD); Total harmonic distortion (THD)
31371,THD,talin head domain (THD)
31372,HTSCs,high-temperature superconductors (HTSCs)
31373,HTSCs,high Tc superconductors (HTSCs); high-T {c} superconductors (HTSCs)
31374,CUCs,coating unit cells (CUCs)
31375,FELICE,Free Electron Laser for Intra-Cavity Experiments (FELICE)
31376,MBKG,Modified Bayesian Kriging method (MBKG)
31377,PIDs,proportional-integral-derivatives (PIDs)
31378,DPE,diphenyl ether (DPE)
31379,HOC,Higher Order Compact (HOC)
31380,NMOSFETs,n-channel metal-oxide-semiconductor field-effect transistors (NMOSFETs)
31381,AVTZ,aug-cc-pVTZ (AVTZ); aug-cc-pVTZ-DK (AVTZ)
31382,DHAM,dynamics histogram analysis method (DHAM)
31383,TiRe-LII,time-resolved laser-induced incandescence (TiRe-LII)
31384,LFS,low-field side (LFS); Low Field Side (LFS); low-field-side (LFS); low field side (LFS)
31385,LFS,locally favoured structures (LFS)
31386,LFS,low magnetic field side (LFS)
31387,MCV,Modulated CV (MCV)
31388,MCV,Mean Corpuscular Volume (MCV)
31389,DFI,direct form I (DFI)
31390,DFI,dark-field imaging (DFI)
31391,FPTs,fluorescent polymeric thermometers (FPTs)
31392,FPTs,first passage times (FPTs); first-passage times (FPTs)
31393,UV-LSCM,UV laser-scanning confocal microscope (UV-LSCM)
31394,SSVEP,steady state visual evoked potential (SSVEP)
31395,JCP,Journal of Chemical Physics (JCP)
31396,Fm,family of spaces (Fm)
31397,DFTs,density functional theories (DFTs)
31398,FBG,fiber grating sensors (FBG)
31399,FBG,Fiber Bragg Grating (FBG); fibre Bragg grating (FBG); fiber Bragg grating (FBG); Fiber Bragg grating (FBG); fiber Bragg gratings (FBG); Fiber Bragg gratings (FBG)
31400,G-SW,G with a SW defect (G-SW)
31401,FAA,Ferric Ammonium Alum (FAA)
31402,FAA,field-aligned acceleration (FAA)
31403,ERIS,epitaxy-on-recoil-implanted substrate (ERIS); epitaxy-on-recoil-implanted-substrate (ERIS)
31404,FE-DE,ferroelectric-dielectric (FE-DE)
31405,STARDUST-U,Small Tank for Aerosol Removal and DUST-Upgrade (STARDUST-U)
31406,Laser-SNMS,laser secondary neutral mass spectrometry (Laser-SNMS)
31407,PEI,polyethylene imine (PEI); polyethyleneimine (PEI); polyethylenimine (PEI)
31408,PEI,photoacoustic elasticity imaging (PEI)
31409,MCPs,microchannel plates (MCPs); micro-channel-plates (MCPs); micro-channel plates (MCPs); multichannel plates (MCPs); multi-channel plates (MCPs)
31410,MCPs,magnetic Compton profiles (MCPs)
31411,MCOD,multicluster oscillation death (MCOD)
31412,ADD,acceptor with double proton donor (ADD)
31413,ADD,addition/subtraction (ADD)
31414,ADD,attention deficit disorder (ADD)
31415,UTL,undersea transmission line (UTL)
31416,POWR,Primary Optical Watt Radiometer (POWR)
31417,MWCGs,multiscale weighted colored graphs (MWCGs)
31418,CoSi,cobalt silicide nanowires (CoSi)
31419,MSM,metal–semiconductor–metal (MSM); Metal-semiconductor-metal (MSM); metal–superconductor–metal (MSM); metal-semiconductor-metal (MSM)
31420,MSM,Markov State Model (MSM); Markov state model (MSM); Markov state modeling (MSM); Markov-state model (MSM); Markov state models (MSM)
31421,MSM,multilevel summation method (MSM)
31422,MSM,molecular structural mechanics (MSM)
31423,MSM,molecular solvent model (MSM)
31424,MSM,monolayer followed by growth of simultaneous monolayers (MSM)
31425,MSM,metal Schottky metal (MSM)
31426,MSM,"metastable conformational states via Gibbs sampling
Markov State Model (MSM)"
31427,BX,bound excitons (BX)
31428,DOCI,doubly occupied configuration interaction (DOCI); doubly occupied-configuration-interaction (DOCI)
31429,DOCI,doubly occupied CI (DOCI)
31430,RGI,Rigid Graphite Insulation (RGI)
31431,CoFeB,Co {60}Fe {20}B {20} (CoFeB); Co {40}Fe {40}B {20} (CoFeB); Co {20}Fe {60}B {20} (CoFeB)
31432,CoFeB,corresponds to a saturation magnetic field of MnGa/Fe-B (CoFeB)
31433,SCICL,Spacecraft Charging and Instrument Calibration Laboratory (SCICL)
31434,SWOT,Surface Water Ocean Topography (SWOT)
31435,EBD,electron beam deposition (EBD); Electron beam deposition (EBD)
31436,EBD,exchange bias direction (EBD)
31437,KERs,kinetic energy releases (KERs)
31438,NIXSW,normal incidence x-ray standing wave (NIXSW); normal-incidence x-ray standing wave (NIXSW)
31439,DISETs,double-island SETs (DISETs)
31440,PWP,plane-wave positron (PWP)
31441,IBSCs,iron-based superconductors (IBSCs)
31442,IBSCs,IB solar cells (IBSCs)
31443,IBSCs,intermediate band solar cells (IBSCs)
31444,ZPVC,zero-point vibrational correction (ZPVC)
31445,KW,Kapustin-Witten (KW)
31446,KW,Kadowaki-Woods (KW)
31447,KW,Kolomeisky-Widom (KW)
31448,TXM,transmission X-Ray microscopy (TXM); transmission X-ray microscopes (TXM); transmission X-ray microscope (TXM); transmission X-ray microscopy (TXM)
31449,VOF-CSF,Volume of Fluid-Continuous Surface Force (VOF-CSF)
31450,HSVMC,Hilbert space variational Monte Carlo (HSVMC)
31451,NBTI,negative-bias temperature instability (NBTI); negative bias temperature instability (NBTI)
31452,ULFs,ultralow magnetic fields (ULFs)
31453,ULFs,unit length filaments (ULFs)
31454,RCN,running coordination numbers (RCN)
31455,RCN,reciprocal of condition number (RCN)
31456,CVFF,Consistent Valence Force Field (CVFF); Consistent Valence Forcefield (CVFF)
31457,KRRs,kernel ridge regressions (KRRs)
31458,SV,spin valve (SV)
31459,SV,stochastic variational (SV)
31460,SV,sensitive volume (SV)
31461,SV,Silvera-Goldman (SV)
31462,SV,state variable (SV)
31463,SV,strictly valid only in a five-layer pseudo-spin-valve (SV)
31464,SV,spherical particles by taking the mode conversion of the vertical shear wave (SV)
31465,SV,spherical vesicle (SV)
31466,SV,shear vertical (SV)
31467,SV,stroke volume (SV)
31468,SV,start voltage (SV)
31469,SV,superconductor-vacuum (SV)
31470,SV,secondary vertex (SV)
31471,SV,side view (SV)
31472,TIMs,Trapped Ion Modes (TIMs)
31473,TIMs,thermal interface materials (TIMs)
31474,MCMF,Magnetic Centrifugal Mass Filter (MCMF)
31475,IFT,inverse FT (IFT)
31476,IFT,interframe time (IFT)
31477,IFT,inverse Fourier transform (IFT)
31478,IFT,interfacial tension (IFT)
31479,FCD,fragment charge difference (FCD)
31480,FCD,Functional Connectivity Dynamics (FCD)
31481,FCD,Four-circle Diffractometer (FCD); four-circle diffractometer (FCD)
31482,FCD,force constant difference (FCD)
31483,FCD,free-carrier dispersion (FCD)
31484,TLBO,teaching learning-based optimization (TLBO); Teaching Learning Based Optimization (TLBO); teaching learning based optimization (TLBO)
31485,PRBS,pseudorandom binary sequence (PRBS); pseudo-random bit sequence (PRBS); pseudo-random-bit-sequence (PRBS)
31486,PRBS,pseudorandom binary signal (PRBS); pseudo random binary signal (PRBS); pseudo random binary sequence (PRBS)
31487,K-BKZ,Kaye-Bernstein-Kearsley-Zapas (K-BKZ)
31488,CDDs,Cholesky decomposed densities (CDDs)
31489,RKB,restricted kinetic balance (RKB)
31490,SLEs,Schramm-Loewner evolutions (SLEs)
31491,IRRC,irradiated region center (IRRC)
31492,TIM6,Ten Inch Manipulator 6 (TIM6)
31493,IMC,Implicit Monte Carlo (IMC)
31494,IMC,inverse Monte Carlo (IMC)
31495,IMC,Inter-metallic Compound (IMC); intermetallic compound (IMC)
31496,ARPM,asymmetric restricted primitive model (ARPM)
31497,Mg,microstructural origin of enhanced radial growth in magnesium (Mg)
31498,Mg,Mg-Ca alloys are mainly composed of the α (Mg)
31499,Mg,Magnesium (Mg); magnesium (Mg)
31500,Mg,metastable single-phase regions of supersaturated solutions of Zn(Mg)
31501,Mg,measuring and calculating cross sections for electron–magnesium (Mg)
31502,Mg,migration in p-type GaN(Mg)
31503,Mg,Mg acceptors in p-type GaN(Mg)
31504,Mg,made of Ag(Mg)
31505,DCIV,drain-side interface by the direct-current current-voltage (DCIV)
31506,MS1,metastable phase 1 (MS1)
31507,CZ,current zero (CZ)
31508,CZ,convection zone (CZ)
31509,CZ,can use this to realize a general N-qubit Toffoli gate or a control-phase (CZ)
31510,CZ,Czochralski (CZ)
31511,SAEDPs,selected area electron diffraction patterns (SAEDPs); selected-area electron diffraction patterns (SAEDPs)
31512,QCL,quantum-cascade laser (QCL); quantum cascade lasers (QCL); Quantum Cascade Laser (QCL); Quantum-Cascade Laser (QCL); quantum cascade laser (QCL)
31513,IHSs,implicit Hamiltonian systems (IHSs)
31514,XAES,X-Ray excited Auger Electron Spectroscopy (XAES)
31515,JEM,Japanese Experiment Module (JEM)
31516,MLD,magnetic lattice defect (MLD)
31517,MLD,monolayer doping (MLD)
31518,MLD,molecular layer deposition (MLD)
31519,SQRT,square root (SQRT); square-root (SQRT)
31520,BFCO,BiFe {1-x}Cr {x}O {3} (BFCO)
31521,TCPSs,Thyristor Control Phase Shifters (TCPSs)
31522,FlexE,flexoelectric (FlexE)
31523,DBA,Dolichos Biflorus Agglutinin (DBA)
31524,DBA,dibromoanthracene (DBA)
31525,DBA,double-bending achromat (DBA)
31526,DBA,donor-bridge-acceptor (DBA)
31527,Dia,diamantane (Dia)
31528,DFIG,doubly fed induction generator (DFIG); Doubly fed induction generator (DFIG)
31529,UMER,University of Maryland Electron Ring (UMER)
31530,CSQDs,core/shell quantum dots (CSQDs)
31531,PAMPS,poly-2-acrylamido-2-methylpropanesulfonate (PAMPS); Poly-2-acrylamido-2-methylpropanesulfonate (PAMPS)
31532,PROCYON,PRoximate Object Close flYby with Optical Navigation (PROCYON)
31533,HBACFs,hydrogen bond auto-correlation functions (HBACFs)
31534,ISHFET,ion-sensitive heterostructure field effect transistor (ISHFET)
31535,AcGlcN,and N-acetyl-d-glucosamine (AcGlcN)
31536,SWM,six-wave mixing (SWM)
31537,SWM,spherical wave model (SWM)
31538,SWM,standard weak measurement (SWM)
31539,SWM,Standing Wave Method (SWM)
31540,AIG,a stock with largest apparent nonlinearity (AIG)
31541,LMAFs,large mode area fibers (LMAFs)
31542,PSf,polysulfone (PSf)
31543,SpSNR,spectral signal-to-noise ratio (SpSNR)
31544,NSDFB,Non-Subsampled Directional Filter Bank (NSDFB)
31545,TISs,tetrahedral interstitial sites (TISs)
31546,DN,double-null (DN); double null (DN)
31547,DN,Digital Number (DN); digital numbers (DN)
31548,DN,dislocation networks (DN); distribution network (DN)
31549,DN,double network (DN)
31550,DN,dichotomic noise (DN)
31551,HS1,heating load is supplied by CHP1 and a heat storage (HS1)
31552,CAM,camera uEye UI-1480LE (CAM)
31553,CAM,computer-aided manufacturing (CAM)
31554,CAM,Coulomb-attenuating-method (CAM); Coulomb-attenuating method (CAM); Coulomb attenuated method (CAM)
31555,CAM,color appearance model (CAM)
31556,CAM,correlated additive and multiplicative (CAM)
31557,CAM,Current Advance Method (CAM)
31558,PRs,peroxy radicals (PRs)
31559,PRs,progesterone receptors (PRs)
31560,HMFU,hydroxymethylfurfural (HMFU)
31561,BIA,bulk inversion asymmetry (BIA)
31562,S-MTJ,single-barrier MTJ (S-MTJ)
31563,VANs,vertically aligned nanocomposites (VANs); vertically aligned nanocomposite (VANs)
31564,PEGDA,polyethylene glycol diacrylate (PEGDA)
31565,G-K,Goodenough-Kanamori (G-K)
31566,CCC,convergent close coupling (CCC)
31567,CCC,cross-correlation coefficients (CCC); cross-correlation coefficient (CCC); cross correlation coefficients (CCC)
31568,CCC,cryogenic current comparators (CCC); cryogenic current comparator (CCC)
31569,RAGE,Radiation Adaptive Grid Eulerian (RAGE)
31570,MCSA,modified CS algorithm (MCSA)
31571,SQDs,semiconductor quantum dots (SQDs)
31572,SQDs,small quantum dots (SQDs)
31573,TDA,Taylor-dispersion analysis (TDA)
31574,TDA,Tamm-Dancoff Approximation (TDA); Tamm-Dancoff approximation (TDA)
31575,NCI,noncovalent interaction (NCI); Non-covalent interaction (NCI); non-covalent interaction (NCI); non-covalent interactions (NCI)
31576,NCI,National Computing Infrastructure’s (NCI)
31577,MHT,magnetic hyperthermia (MHT)
31578,SMSR,sidemode suppression ratio (SMSR); side mode suppression ratio (SMSR); side-mode suppression ratio (SMSR)
31579,SDPD,smooth dissipative particle dynamics (SDPD); smoothed dissipative particle dynamics (SDPD); Smoothed Dissipative Particle Dynamics (SDPD)
31580,EPDM,ethylene propylene diene monomer (EPDM)
31581,MNM,metal–nonmetal (MNM)
31582,MNM,metal nonmetal transition (MNM)
31583,TDSCL,time-dependent space-charge-limited (TDSCL)
31584,PAVEZYUM,Pavezyum Advanced Chemicals (PAVEZYUM)
31585,MMT,montmorillonite (MMT)
31586,MMT,modified Marcus theory (MMT)
31587,MMT,methyl-m-toluate (MMT)
31588,IGW,internal gravity waves (IGW)
31589,EFTEM,energy filtered TEM (EFTEM); energy filtering TEM (EFTEM); energy-filtered TEM (EFTEM)
31590,EFTEM,Energy-filtered transmission electron microscopy (EFTEM); energy-filtered transmission electron microscopy (EFTEM)
31591,PAM,parallel artificial membrane (PAM)
31592,PAM,phase accumulation model (PAM)
31593,PAM,passive acoustic mapping (PAM)
31594,PAM,polarization Airy mask (PAM)
31595,PAM,pulse amplitude modulation (PAM)
31596,PAM,plasma activated media (PAM); plasma activated medium (PAM); plasma-activated medium (PAM)
31597,PAM,photoacoustic microscopy (PAM)
31598,NNs,neural networks (NNs); Neural networks (NNs); Neural Networks (NNs)
31599,NNs,nanoneedles (NNs)
31600,NNs,nearest neighbors (NNs)
31601,BART,Bayesian Additive Regression Trees (BART); Bayesian additive regression trees (BART)
31602,DBOCs,diagonal Born–Oppenheimer corrections (DBOCs)
31603,LRs,leak rates (LRs)
31604,Cu-L,cumulative method (Cu-L)
31605,SLN,SYBYL line notation (SLN)
31606,SLN,solid lipid nanoparticles (SLN)
31607,SLN,stoichiometric LiNbO {3} (SLN)
31608,MREs,magnetorheological elastomers (MREs)
31609,QMT,Quantum mechanical tunneling (QMT); quantum mechanical tunnelling model (QMT); quantum mechanical tunneling (QMT)
31610,QMT,quantum magnetization tunneling (QMT)
31611,QMT,quantum-mechanical transmission (QMT)
31612,PZ,piezoelectric expansion (PZ)
31613,PZ,Perdew and Zunger (PZ); Perdew-Zunger (PZ)
31614,PZ,PbZrO {3} (PZ)
31615,PZ,puffing and resolidification zone (PZ)
31616,PZ,piezoelectric (PZ)
31617,SECARS,surface enhanced coherent anti Stokes Raman scattering (SECARS)
31618,FLOC,fixed-length optical cavity (FLOC)
31619,QWIP,quantum-well infrared photodetector (QWIP); quantum well infrared photodetectors (QWIP); quantum well infrared photodetector (QWIP)
31620,ORI,orthogonal resolution of the identity (ORI)
31621,OKE,optical Kerr effect (OKE); Optical Kerr Effect (OKE)
31622,OKE,optical Kerr effect techniques (OKE)
31623,GGRW,Galilean Generalized Robertson-Walker (GGRW)
31624,TICS,total inelastic cross sections (TICS); total ionisation cross section (TICS)
31625,FOV,field of views (FOV); field-of-view (FOV); field of view (FOV); fields-of-view (FOV); field of vision (FOV)
31626,DR-UV-SPIV,depth-resolved ultraviolet spectroscopic photo-IV (DR-UV-SPIV)
31627,VLS-PGM,variable line spacing plane grating monochromator (VLS-PGM)
31628,ZAH,zinc acetate dihydrate (ZAH)
31629,LOD,limit‐of‐detection (LOD); Limit of Detection (LOD); limits of detection (LOD); limit-of-detection (LOD); limit of detection (LOD)
31630,LOD,Liouville-operator-derived (LOD)
31631,EHS,electron-hole scattering (EHS)
31632,WEDM,wire-electric discharge machining (WEDM); wire electrical discharge machining (WEDM); Wire Electrical Discharge Machining (WEDM)
31633,NPP,Nernst-Planck-Poisson (NPP)
31634,NPP,nuclear power plant (NPP)
31635,NPP,new precursor powder (NPP)
31636,UFED,unified free-energy dynamics (UFED); unified free energy dynamics (UFED)
31637,PIRL,Picosecond infrared laser (PIRL); picosecond infrared laser (PIRL)
31638,PIRL,picosecond infrared laser desorption (PIRL)
31639,FTCF,frequency-time correlation function (FTCF)
31640,IMSD,imaginary-time mean square displacement (IMSD)
31641,MWCVD,microwave chemical-vapor-deposited (MWCVD); microwave plasma chemical-vapor deposition (MWCVD)
31642,DVDs,digital video disks (DVDs)
31643,UVO,UV-Ozone treatment (UVO)
31644,UVO,Ultraviolet ozone (UVO); ultra violet oven (UVO); ultraviolet/ozone (UVO)
31645,UVO,ultraviolet ozone oxidation (UVO)
31646,PTMetaD-WTE,parallel tempering metadynamics in the well-tempered ensemble (PTMetaD-WTE)
31647,RAE,rotating analyzer ellipsometer (RAE)
31648,RAE,representative area element (RAE)
31649,RAE,runaway electrons (RAE)
31650,FMP,flow‐gate marginal pricing (FMP)
31651,DLG,dual light-gate (DLG)
31652,OMCTS,octamethylcyclotetrasiloxane (OMCTS); Octamethylcyclotetrasiloxane (OMCTS)
31653,T80,the PCE could maintain 80% of its initial value(T80)
31654,LBNF,Long-Baseline Neutrino Facility (LBNF)
31655,Z-K,Zakharov-Kuznetsov (Z-K)
31656,Z-K,Zaretsky-Kanel (Z-K)
31657,Z-K,Zwikker-Kosten (Z-K)
31658,NSFFE,Normalized Statistical Function of Forecast Error (NSFFE)
31659,MZIM,Mach–Zehnder intensity modulator (MZIM)
31660,ARAS,additive ratio Assessment method (ARAS)
31661,UPJs,upward carrier jumps (UPJs)
31662,BREC,bottoming supercritical CO {2} recompression cycle (BREC); bottoming recompression cycle (BREC); bottoming sCO {2} recompression cycle (BREC)
31663,UV-PDs,ultraviolet photodetectors (UV-PDs)
31664,HOCs,hole-only cells (HOCs)
31665,ESCs,electrostatic capacitors (ESCs)
31666,ESCs,electrostrictive single crystals (ESCs)
31667,ESCs,embryonic stem cells (ESCs)
31668,AEGs,atrial electrograms (AEGs)
31669,PWB,pressurized water boiling (PWB)
31670,ZF,zero field (ZF); zero-field (ZF); zero-field-(ZF)
31671,ZF,zonal flow (ZF)
31672,RABiTSs,rolling assisted biaxially textured substrates (RABiTSs)
31673,COS,carbonyl sulfur (COS)
31674,COS,crystalline oxide on Si (COS)
31675,COS,chain of spheres (COS)
31676,COS,conformational ordered segments (COS)
31677,MEO,medium earth orbit (MEO)
31678,AMZIs,asymmetric Mach-Zehnder interferometers (AMZIs)
31679,STEX,scaled thermal explosion experiment (STEX)
31680,STEX,Static Exchange (STEX); static exchange (STEX)
31681,MEGO,microwave exfoliated graphene oxide (MEGO)
31682,TNIs,transient negative ions (TNIs)
31683,OXX,optical pump-X-ray probe-X-ray probe (OXX)
31684,IKKT,Ishibashi-Kawai-Kitazawa-Tsuchiya (IKKT)
31685,VGF,vertical gradient freezing (VGF); vertical gradient freeze (VGF)
31686,VGF,vertical centrifugal force (VGF)
31687,FPT,fluorescent polymeric thermometer (FPT)
31688,FPT,Finite Perturbation Theory (FPT)
31689,FPT,first-passage-time (FPT); first-passage time (FPT); first passage time (FPT); First Passage Time (FPT); First passage time (FPT)
31690,FPT,first passage time of folding (FPT)
31691,OSWs,Other Solitary Waves (OSWs)
31692,VPM,variable-delay polarization modulator (VPM)
31693,VCVS,voltage-controlled voltage source (VCVS)
31694,EE-EOM-CCD,electronic-excitation equation-of-motion CCD (EE-EOM-CCD)
31695,CSS,Control System Studio (CSS)
31696,CSS,Cluster Surface Smoothing(CSS)
31697,CSS,close-spaced sublimation (CSS); close space sublimation (CSS)
31698,CSS,closed-shell singlet (CSS)
31699,CSS,constant stress (CSS)
31700,TMN,transition-metal nitride (TMN); transition metal nitride (TMN)
31701,ESM,effective screening medium (ESM)
31702,ESM,equivalent source method (ESM)
31703,ESM,Electron Suppression Magnet (ESM)
31704,ESM,electrospun membrane (ESM)
31705,ESM,electrochemical strain microscopy (ESM)
31706,SBWs,surface bound waves (SBWs)
31707,SP,surface plasmons (SP); surface phonon (SP); surface-plasmons (SP); surface plasmon (SP)
31708,SP,spike (SP)
31709,SP,spanwise (SP)
31710,SP,signal photon (SP)
31711,SP,saddle point (SP)
31712,SP,Sweet-Parker (SP)
31713,SP,SuperPower (SP); Superpower (SP)
31714,SP,Surface potential (SP); surface-potential (SP); surface potential (SP)
31715,SP,singularity point (SP)
31716,SP,sample is a piece of a tape produced by Superpower (SP)
31717,SP,slow progressive (SP)
31718,SP,surface produced (SP)
31719,SP,Superpower SCS4050 (SP); Superpower SCS-4050 (SP)
31720,SP,semi-phenomenological (SP)
31721,SP,Spin pumping (SP); spin pumping (SP)
31722,SP,single-pulse (SP); single pulse (SP)
31723,SP,sub-population (SP); sub-populations (SP)
31724,SP,Slater-Pauling (SP)
31725,SP,strip probe (SP)
31726,SP,spectrometer (SP)
31727,SP,single parton (SP)
31728,SP,spray pyrolysis (SP)
31729,SP,sample pad (SP)
31730,SP,second positive (SP)
31731,SP,superparamagnetic (SP)
31732,SP,Smith-Purcell (SP)
31733,SP,superparticle (SP)
31734,SP,small polaron (SP)
31735,SP,Schwenke and Partridge (SP)
31736,SP,spin polarization (SP); Spin polarization (SP); spin-polarized (SP); spin-polarization (SP)
31737,SP,swap period (SP)
31738,SP,spin-projected (SP)
31739,SP,setpoint (SP)
31740,SP,sphere-plane (SP)
31741,SP,Stout-Politzer (SP)
31742,SP,Schrödinger-Poisson (SP)
31743,SP,single particle model (SP)
31744,SP,single laser pulse (SP)
31745,SP,space groups (SP)
31746,SP,starting powder (SP)
31747,SP,specific economy potential (SP)
31748,SP,Series Parallel (SP); series-parallel (SP)
31749,SP,so-called “superparticle (SP)
31750,SP,SwissProt (SP)
31751,SP,supplied power (SP)
31752,SP,Spontaneous polarization (SP)
31753,SP,south pole (SP)
31754,SP,surfactant-protein (SP)
31755,SP,second-peak (SP)
31756,SP,spherical (SP)
31757,SP,shielded pole (SP)
31758,SP,short-pass filter (SP)
31759,SP,saving potential (SP)
31760,SP,short wave pass (SP)
31761,SP,short pulse (SP)
31762,SP,starch platelets (SP)
31763,SP,successive plasma (SP)
31764,SP,single-particle (SP)
31765,RCO,relative contact order (RCO)
31766,IL-1,interleukin 1 (IL-1)
31767,GIXANES,Grazing incidence X-ray absorption near-edge spectroscopy (GIXANES)
31768,VAM,velocity accommodation mode (VAM)
